Grave,5,5,5,5.5,6.5,3.5,5,2.5,6.5,6,5,6
Jaina,5,5,6,5,6.5,3,3,3,5.5,8,5,6
Midori,5,4,5,8,5.5,5,3.5,4,6,5.5,4,9.5
Setsuki,4.5,5,2,5,4.5,5.5,4,3.5,6.5,5.5,6,6
Rook,3.5,3.5,4.5,5.5,5,5.5,5.5,3,4,1.5,5,5
DeGrey,6.5,7,5,4.5,4.5,5,4,5,8,6,6.5,7.5
Valerie,5,7,6.5,6,4.5,6,5,6,7,7,7.5,5.5
Geiger,7.5,7,6,6.5,7,5,4,5,3.5,1.5,2.5,6
Lum,3.5,4.5,4,3.5,6,2,3,6.5,5,3.5,7,6
Argagarg,4,2,4.5,4.5,8.5,4,3,8.5,6.5,5,7,0.5
Quince,5,5,6,4,5,3.5,2.5,7.5,3,3,5,6
Onimaru,4,4,0.5,4,5,2.5,4.5,4,4,9.5,4,5
